WA, Life expectancy at birth (period, 1x5)	Last modified: 23 May 2023;  Methods Protocol: v6 (2017)

  Year       Female    Male     Total
1971-1974     76.26    69.17    72.50
1975-1979     77.85    70.77    74.14
1980-1984     79.48    72.57    75.91
1985-1989     80.18    73.71    76.88
1990-1994     81.05    75.19    78.09
1995-1999     82.02    76.24    79.11
2000-2004     83.16    78.20    80.70
2005-2009     84.05    79.29    81.67
2010-2014     84.94    80.47    82.70
2015-2019     85.47    81.13    83.28
